,J,Location,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
12598,151,Tuggeranong,1.0,0.00402233564999451,2,0.6398537477148081,0.5988023952095808,0.5544554455445545
12599,151,Richmond,0.4229130394458629,0.0017471212309489582,2,0.6333973128598849,0.5827205882352942,0.5980392156862745
12600,151,SalmonGums,1.0,0.035064566240248896,2,0.7166108185734801,0.6758241758241759,0.38636363636363635
12601,151,PearceRAAF,1.0,4.589505306009934e-13,2,0.6963495575221239,0.6956521739130435,0.7530864197530864
12602,151,BadgerysCreek,0.04718640341189431,0.08543416002873305,2,0.5947521865889213,0.5334608030592735,0.5784313725490197
12603,151,WaggaWagga,1.0,0.020945267166048345,2,0.607970342910102,0.5348399246704332,0.6210526315789474
12604,151,PerthAirport,0.8822014064851458,2.957158086356866e-16,2,0.6793056190041115,0.6931407942238267,0.7478260869565218
12605,151,Moree,1.0,0.0005461421178716159,2,0.8254716981132075,0.8116760828625236,0.24324324324324326
12606,151,Nuriootpa,1.0,0.0012680745594783201,2,0.6666666666666666,0.6025179856115108,0.5648148148148148
12607,151,Nhil,1.0,0.3052519033029606,2,0.6929347826086957,0.6534296028880866,0.4
12608,152,Canberra,1.0,0.0010308645687732432,2,0.6110889509373754,0.5571428571428572,0.6311475409836066
12609,152,Perth,0.0060881417736997024,1.7275142635332863e-10,2,0.6578498293515358,0.6363636363636364,0.717948717948718
12610,152,Adelaide,1.0,0.0014583914323653825,2,0.5556552962298025,0.5067698259187621,0.7272727272727273
12611,152,Albury,1.0,0.008463584973539969,2,0.5575785161583978,0.5340909090909091,0.6386554621848739
12612,152,Bendigo,1.0,0.1226887474982371,2,0.6034790365744871,0.5347490347490348,0.5714285714285714
12613,152,Penrith,1.0,0.03865117425413309,2,0.5375939849624061,0.4800796812749004,0.6944444444444444
12614,152,Tuggeranong,1.0,0.0011823149946608453,2,0.5886458818054909,0.5286506469500925,0.6915887850467289
12615,152,Richmond,1.0,0.0008211181790242207,2,0.566350710900474,0.5153846153846153,0.7263157894736842
12616,152,SalmonGums,1.0,0.01884881079703501,2,0.691233140655106,0.6422182468694096,0.4444444444444444
12617,152,PearceRAAF,0.4318165767058295,0.00011457088886042909,2,0.6858695652173913,0.6153846153846154,0.6206896551724138
12618,152,BadgerysCreek,0.42663373132799587,0.002795432407111936,2,0.5467836257309941,0.500945179584121,0.72
12619,152,WaggaWagga,1.0,0.006450009706275496,2,0.5923149015932521,0.5459459459459459,0.631578947368421
12620,152,PerthAirport,1.0,7.625325499792627e-09,2,0.6748410535876476,0.6247689463955638,0.7184466019417476
12621,152,Moree,1.0,0.021519192671310736,2,0.8599791013584117,0.7909604519774012,0.16666666666666666
12622,152,Nuriootpa,1.0,0.003020880864696499,2,0.6271264367816092,0.5557553956834532,0.6228070175438597
12623,152,Nhil,1.0,0.0099348172894035,2,0.6800364630811303,0.6302816901408451,0.5777777777777777
12624,153,Canberra,0.4224879814340893,5.336469147726966e-06,2,0.7554846429996012,0.7126984126984127,0.4322033898305085
12625,153,Perth,0.051131042072196056,1.723118118899333e-11,2,0.7003410059676044,0.6781411359724613,0.6637931034482759
12626,153,Adelaide,1.0,4.98624379874833e-08,2,0.6615935541629364,0.6368932038834951,0.6666666666666666
12627,153,Albury,1.0,0.0012609203903994062,2,0.6405109489051095,0.6409774436090225,0.4953271028037383
12628,153,Bendigo,1.0,0.002219580162842898,2,0.7212449255751014,0.6666666666666666,0.4380952380952381
12629,153,Penrith,1.0,5.183380835566045e-05,2,0.7078228086710651,0.6792079207920793,0.5053763440860215
12630,153,Tuggeranong,1.0,0.01287134566039604,2,0.7463302752293578,0.703921568627451,0.34408602150537637
12631,153,Richmond,1.0,0.02228506039212923,2,0.7734674329501916,0.6913123844731978,0.2903225806451613
12632,153,SalmonGums,1.0,1.0,2,0.7533333333333333,0.7065420560747664,0.18478260869565216
12633,153,PearceRAAF,0.0041090958660082,6.937578720536259e-07,2,0.7027027027027027,0.6773504273504274,0.5909090909090909
12634,153,BadgerysCreek,0.06319991908054795,2.1487742646834585e-05,2,0.7121212121212122,0.6822429906542056,0.47368421052631576
12635,153,WaggaWagga,1.0,0.01926010693112145,2,0.7152842497670084,0.6500920810313076,0.43617021276595747
12636,153,PerthAirport,0.15055072770710848,7.052306654252115e-10,2,0.705045871559633,0.6785079928952042,0.6470588235294118
12637,153,Moree,1.0,0.003809031479043819,2,0.8561113976276431,0.8221797323135756,0.14634146341463414
12638,153,Nuriootpa,1.0,1.5741955395201343e-06,2,0.7051282051282052,0.6581352833638026,0.5583333333333333
12639,153,Nhil,1.0,0.6770239897230172,2,0.7506849315068493,0.7132867132867133,0.2631578947368421
12640,154,Canberra,1.0,3.5207441210224216e-05,2,0.7472089314194578,0.6888888888888889,0.4253731343283582
12641,154,Perth,1.0,1.9351146890578098e-10,2,0.6696504688832055,0.6471600688468159,0.6982758620689655
